task,Method_name,execution_time(ms)
BalancedBrackets,BalancedBrackets.generateBalancedBrackets,0.999624
BalancedTernary,BalancedTernary.main,104.079413
BalancedTernary,BalancedTernary.BTernary.mul,84.01472699999998
BalancedTernary,BalancedTernary.BTernary.add,75.02977699999998
BalancedTernary,BalancedTernary.BTernary.compareTo,11.005290000000002
BalancedTernary,BalancedTernary.BTernary.intValue,8.001214000000001
BalancedTernary,BalancedTernary.BTernary.<init>,2.9938659999999997
BalancedTernary,BalancedTernary.BTernary.addDigits,16.009776
BalancedTernary,BalancedTernary.BTernary.sub,6.024188
BalancedTernary,BalancedTernary.BTernary.neg,2.002649
BalancedTernary,BalancedTernary.BTernary.flip,2.002649
BalancedTernary,BalancedTernary.BTernary.convertToBT,8.038752
Beer,Beer.main,102.09986400000004
Beer,Beer.bottles,75.08109100000003
Bell,Bell.main,27.020256000000003
Bell,Bell.BellTriangle.<init>,2.003679
Bell,Bell.BellTriangle.set,1.000772
Bell,Bell.BellTriangle.get,1.002907
Bell,Bell.BellTriangle.index,1.002907
BenfordsLaw,BenfordsLaw.main,237.2212640000001
BenfordsLaw,BenfordsLaw.generateFibonacci,8.00185
BestShuffle,BestShuffle.main,10.01228
BestShuffle,BestShuffle.bestShuffle,8.010665000000001
Bias,Bias.main,784.2651669999998
Bias,Bias.biased,470.1212109999999
Bias,Bias.unbiased,380.09349100000003
BinarySearchIterative,BinarySearchIterative.main,6.006526
BinarySearchRecursive,BinarySearchRecursive.main,8.00791
binarytrees,binarytrees_v2.main,102402.93751900017
binarytrees,binarytrees_v2.TreeNode_v2.itemCheck,438092.2682209807
binarytrees,binarytrees_v2.TreeNode_v2.bottomUpTree,844698.0197009491
binarytrees,binarytrees_v2.TreeNode_v2.<init>,38019.104713999965
binarytrees,binarytrees_v3.main,100035.98288500062
binarytrees,binarytrees_v3.trees,98383.25118500048
binarytrees,binarytrees_v3.loops,97506.8764190006
binarytrees,binarytrees_v3.createTree,862696.3041670603
binarytrees,binarytrees_v3.checkTree,421830.95654707233
binarytrees,binarytrees_v4.61.run,90673.6651739997
binarytrees,binarytrees_v4.main.0,90673.6651739997
binarytrees,binarytrees_v4.runBenchmark,90673.6651739997
binarytrees,binarytrees_v4.TreeNode_v4.createNode,1366871.5085422872
binarytrees,binarytrees_v4.TreeNode_v4.checkNode,435908.22092193615
binarytrees,binarytrees_v4.main,13.059244
binarytrees,binarytrees_v6.main,94952.49459200121
binarytrees,binarytrees_v6.TreeNode_v6.create,64085.72290699948
binarytrees,binarytrees_v6.TreeNode_v6.ChildTreeNodes,794152.3383239863
binarytrees,binarytrees_v6.TreeNode_v6.check,409107.76424798084
binarytrees,binarytrees_v7.63.run,11534.546918999982
binarytrees,binarytrees_v7.main.0,11534.546918999982
binarytrees,binarytrees_v7.TreeNode_v7.itemCheck,47283.9941620005
binarytrees,binarytrees_v7.bottomUpTree,101627.21885900179
binarytrees,binarytrees_v7.TreeNode_v7.<init>,4621.987344000005
binarytrees,binarytrees_v7.main,450.1949519999999
binarytrees,binarytrees_v7.<clinit>,1.000666
Bins,Bins.main,26.029822
Bins,Bins.printBins,23.029207
